player,team,exp_g_match,is_taker,exp_goals,p_gb
Ali Jasim,Iraq,0.2333333333333333,False,0.68695,0.0
Aymen Hussein,Iraq,0.2333333333333333,False,1.69915,0.0
Kevin Yakob,Iraq,0.0826666666666666,False,0.24255,0.0
Aimar Sher,Iraq,0.0826666666666666,False,0.2485,0.0
Marko Farji,Iraq,0.2333333333333333,False,0.69715,0.0
Zaid Ismail,Iraq,0.0826666666666666,False,0.25445,0.0
Morten Thorsby,Norway,0.0853151713625652,False,0.44915,0.0
Leo Østigård,Norway,0.0635589866929425,False,1.34065,0.0
Patrick Berg,Norway,0.0893322321081189,False,0.4664,0.0
Sander Berge,Norway,0.0468301135479828,False,0.24275,0.0
Amir Al-Ammari,Iraq,0.0826666666666666,False,0.25075,0.0
Alex Rufer,New Zealand,0.0826666666666666,False,0.2574,0.0
Kosta Barbarouses,New Zealand,0.2333333333333333,False,0.72535,0.0
Ben Waine,New Zealand,0.2333333333333333,False,0.72665,0.0
Ben Old,New Zealand,0.0826666666666666,False,0.2556,0.0
Callum McCowatt,New Zealand,0.0826666666666666,False,0.2606,0.0
Jesse Randall,New Zealand,0.2333333333333333,False,0.7346,0.0
Ryan Thomas,New Zealand,0.0826666666666666,False,0.2599,0.0
Lachlan Bayliss,New Zealand,0.0826666666666666,False,0.2541,0.0
Kevin Pina,Cape Verde,0.0826666666666666,False,1.30425,0.0
Bara Sapoko Ndiaye,Senegal,0.0826666666666666,False,0.3712,0.0
Gilson Benchimol,Cape Verde,0.2333333333333333,False,0.8547,0.0
Jamiro Monteiro,Cape Verde,0.0826666666666666,False,0.2892,0.0
Garry Rodrigues,Cape Verde,0.0826666666666666,False,0.29635,0.0
Deroy Duarte,Cape Verde,0.0609928229128308,False,0.2201,0.0
Laros Duarte,Cape Verde,0.0826666666666666,False,0.29885,0.0
Yannick Semedo,Cape Verde,0.0826666666666666,False,0.29505,0.0
Willy Semedo,Cape Verde,0.1997178673719213,False,0.71815,0.0
Telmo Arcanjo,Cape Verde,0.0826666666666666,False,0.29935,0.0
Dailon Livramento,Cape Verde,0.2333333333333333,False,0.8365,0.0
Ryan Mendes (captain),Cape Verde,0.2333333333333333,False,0.83555,0.0
Jovane Cabral,Cape Verde,0.0594711237366607,False,0.21685,0.0
Zizo,Egypt,0.2333333333333333,False,1.03565,0.0
Saeid Ezatolahi,Iran,0.0826666666666666,False,0.305,0.0
Alireza Jahanbakhsh,Iran,0.0826666666666666,False,0.30625,0.0
Mohammad Mohebi,Iran,0.0826666666666666,False,0.30625,0.0
Mehdi Taremi,Iran,0.1811924200710899,True,0.6695,0.0
Mehdi Ghayedi,Iran,0.2333333333333333,False,0.85715,0.0
Ali Alipour,Iran,0.2333333333333333,False,0.8547,0.0
Saman Ghoddos,Iran,0.05222285669957,False,0.1915,0.0
Rouzbeh Cheshmi,Iran,0.0826666666666666,False,0.2965,0.0
Mehdi Torabi,Iran,0.0826666666666666,False,0.30615,0.0
Liberato Cacace,New Zealand,0.0424541971974696,False,0.13155,0.0
Shahriyar Moghanlou,Iran,0.2333333333333333,False,0.85425,0.0
Mohammad Ghorbani,Iran,0.0826666666666666,False,0.3001,0.0
Dennis Eckert,Iran,0.2333333333333333,False,0.8485,0.0
Amirmohammad Razzaghinia,Iran,0.0826666666666666,False,0.2998,0.0
Joe Bell,New Zealand,0.0826666666666666,False,0.25805,0.0
Matthew Garbett,New Zealand,0.0826666666666666,False,0.25655,0.0
Marko Stamenić,New Zealand,0.1033767282561752,False,0.32175,0.0
Chris Wood (captain),New Zealand,0.3822343803950848,True,1.19035,0.0
Sarpreet Singh,New Zealand,0.0826666666666666,False,0.25495,0.0
Elijah Just,New Zealand,0.0826666666666666,False,2.2554,0.0
Amirhossein Hosseinzadeh,Iran,0.2333333333333333,False,0.86825,0.0
Pedro Porro,Spain,0.0424232599605606,False,0.27995,0.0
Aymeric Laporte,Spain,0.0510193123660408,False,0.3382,0.0
Álex Baena,Spain,0.0687933347587412,False,0.45865,0.0
Rodri (captain),Spain,0.0998339631446634,False,0.6691,0.0
Martín Zubimendi,Spain,0.0569371133132814,False,0.37735,0.0
Pedri,Spain,0.0675999739934863,False,0.4471,0.0
Marc Cucurella,Spain,0.0666195646925314,False,0.4443,0.0
Ronald Araújo,Uruguay,0.0761364133454486,False,0.25705,0.0
Manuel Ugarte,Uruguay,0.0632984478880016,False,0.21455,0.0
Nicolás de la Cruz,Uruguay,0.0689976033625924,False,0.2344,0.0
Nuno da Costa,Cape Verde,0.0826666666666666,False,0.30305,0.0
Facundo Pellistri,Uruguay,0.2190776286102932,False,0.74605,0.0
Agustín Canobbio,Uruguay,0.0826666666666666,False,1.2788,0.0
Mathías Olivera,Uruguay,0.0478399999842533,False,0.16265,0.0
Brian Rodríguez,Uruguay,0.2333333333333333,False,0.78885,0.0
Maximiliano Araújo,Uruguay,0.1422218117601672,False,0.47755,0.0
Joaquín Piquerez,Uruguay,0.0826666666666666,False,0.2796,0.0
Juan Manuel Sanabria,Uruguay,0.0826666666666666,False,0.2796,0.0
Rodrigo Zalazar,Uruguay,0.1024946868446238,False,0.34285,0.0
Malo Gusto,France,0.0413320484982827,False,0.26355,0.0
Dayot Upamecano,France,0.0610284558732159,False,0.40965,0.0
Federico Valverde,Uruguay,0.1006096141224345,False,0.3424,0.0
Hélio Varela,Cape Verde,0.1096985501936131,False,1.39295,0.0
Nasser Al-Dawsari,Saudi Arabia,0.0826666666666666,False,0.28655,0.0
Musab Al-Juwayr,Saudi Arabia,0.0826666666666666,False,0.2848,0.0
Ayman Yahya,Saudi Arabia,0.2333333333333333,False,0.80435,0.0
Firas Al-Buraikan,Saudi Arabia,0.2333333333333333,False,0.80645,0.0
Salem Al-Dawsari (captain),Saudi Arabia,0.2333333333333333,False,0.8189,0.0
Saleh Al-Shehri,Saudi Arabia,0.2333333333333333,False,0.8067,0.0
Saud Abdulhamid,Saudi Arabia,0.0451372793083979,False,0.15385,0.0
Abdullah Al-Khaibari,Saudi Arabia,0.0826666666666666,False,0.28485,0.0
Ziyad Al-Johani,Saudi Arabia,0.0826666666666666,False,0.27825,0.0
Dani Olmo,Spain,0.1500853037578118,False,1.0001,0.0
Alaa Al-Hejji,Saudi Arabia,0.0826666666666666,False,0.29295,0.0
Abdullah Al-Hamdan,Saudi Arabia,0.2333333333333333,False,0.80955,0.0
Sultan Mandash,Saudi Arabia,0.2333333333333333,False,0.80875,0.0
Mohamed Kanno,Saudi Arabia,0.0826666666666666,False,0.2861,0.0
Álex Grimaldo,Spain,0.0748267324013247,False,0.496,0.0
Eric García,Spain,0.0758749960508936,False,0.50425,0.0
Marcos Llorente,Spain,0.0690076763591315,False,0.45795,0.0
Mikel Merino,Spain,0.0823348045899598,False,0.5558,0.0
Fabián Ruiz,Spain,0.119772720550212,False,0.7861,0.0
Gavi,Spain,0.0609136778027054,False,0.4029,0.0
Khalid Al-Ghannam,Saudi Arabia,0.2333333333333333,False,0.80305,0.0
Azizjon Ganiev,Uzbekistan,0.0826666666666666,False,0.25685,0.0
Azizbek Amonov,Uzbekistan,0.2333333333333333,False,0.7069,0.0
Igor Sergeev,Uzbekistan,0.2333333333333333,False,0.7037,0.0
Abbosbek Fayzullaev,Uzbekistan,0.0826666666666666,False,1.2502,0.0
Sherzod Esanov,Uzbekistan,0.0826666666666666,False,0.25235,0.0
Josip Stanišić,Croatia,0.0697648462401244,False,0.31745,0.0
Joško Gvardiol,Croatia,0.0992831700130845,False,0.4557,0.0
Duje Ćaleta-Car,Croatia,0.0504536240997414,False,0.2279,0.0
Nikola Moro,Croatia,0.0455158195086542,False,0.20685,0.0
Mateo Kovačić,Croatia,0.0858722161179024,False,0.39,0.0
Valentín Barco,Argentina,0.0797196798534883,False,0.5232,0.0
Luka Modrić (captain),Croatia,0.0696651871943707,False,0.31315,0.0
Ante Budimir,Croatia,0.2236976344364404,True,1.99055,0.0
Nikola Vlašić,Croatia,0.0844980726063929,False,0.3829,0.0
Ivan Perišić,Croatia,0.0586453624472466,False,0.2624,0.0
Mario Pašalić,Croatia,0.0901194421521196,False,0.406,0.0
Martin Baturina,Croatia,0.0823050675424688,False,1.371,0.0
Petar Sučić,Croatia,0.0685502823826765,False,0.3138,0.0
Toni Fruk,Croatia,0.0826666666666666,False,0.36935,0.0
Igor Matanović,Croatia,0.2565684350310869,False,1.15655,0.0
Luka Sučić,Croatia,0.0630333355979587,False,0.2814,0.0
Luka Vušković,Croatia,0.0974279760420345,False,0.4352,0.0
Andrej Kramarić,Croatia,0.2109097428124557,False,0.94935,0.0
Arthur Masuaku,DR Congo,0.0413305703606714,False,0.13445,0.0
Rúben Dias,Portugal,0.0404575875728906,False,0.2195,0.0
Diogo Dalot,Portugal,0.0436036542782095,False,0.232,0.0
Matheus Nunes,Portugal,0.0421724476981357,False,0.22615,0.0
Bruno Fernandes,Portugal,0.1970894626393306,False,1.07545,0.0
Bernardo Silva,Portugal,0.0972704037925781,False,0.5311,0.0
João Félix,Portugal,0.1470947195591301,False,0.7919,0.0
Gonçalo Inácio,Portugal,0.0523040539733486,False,0.28805,0.0
João Neves,Portugal,0.078818804171727,False,1.42875,0.0
Francisco Trincão,Portugal,0.2333333333333333,False,1.2633,0.0
Pedro Neto,Portugal,0.128167555216291,False,0.70515,0.0
Dostonbek Khamdamov,Uzbekistan,0.0826666666666666,False,0.245,0.0
João Cancelo,Portugal,0.0588064482565408,False,0.32295,0.0
Vitinha,Portugal,0.1146367522980843,False,0.6258,0.0
Nuno Mendes,Portugal,0.1138296405079603,False,1.6199,0.0
Francisco Conceição,Portugal,0.1386042556027753,False,0.75135,0.0
Akmal Mozgovoy,Uzbekistan,0.0826666666666666,False,0.2463,0.0
Otabek Shukurov,Uzbekistan,0.0826666666666666,False,0.25125,0.0
