team,no,pos,player,birth_date,age,caps,goals,club,club_country,nn,mins,op_rate90,pen_per90,role,g,npxg,sh90,mn,exp_min,exp_shots_match,is_taker,pen_rate90,exp_g90,exp_g_match
Netherlands,22,DF,Denzel Dumfries,1996-04-18,30,72,11,Inter Milan,Italy,denzel dumfries,7432.0,0.1932754425367455,0.0,MID,21.0,16.49,1.462836838677545,7432.0,87.6,1.4238278563128104,False,0.0,0.1932754425367455,0.18812143073576562
Netherlands,23,GK,Mark Flekken,1993-06-13,32,12,0,Bayer Leverkusen,Germany,mark flekken,9321.0,0.0001675325420357466,0.0,GK,0.0,0.0,0.0004974037365906699,9321.0,85.0,0.00046977019566896594,False,0.0,0.0001675325420357466,0.00015822517858931622
Netherlands,24,FW,Crysencio Summerville,2001-10-30,24,2,0,West Ham United,England,crysencio summerville,3260.0,0.2283103333117464,0.0,FWD,6.0,6.8,1.9383721233083417,3260.0,66.8,1.4387028648555247,False,0.0,0.2283103333117464,0.16945700294694066
Netherlands,25,DF,Jorrel Hato,2006-03-07,20,8,0,Chelsea,England,jorrel hato,3577.0,0.039601829627172215,0.0,DEF,0.0,1.7,0.46810042168724,3577.0,52.2,0.2714982445785992,False,0.0,0.039601829627172215,0.022969061183759888
Netherlands,26,MF,Quinten Timber,2001-06-17,24,11,1,Marseille,France,quinten timber,2706.0,0.09580603604028677,0.0,MID,1.0,2.7399999999999998,1.0758071255627633,2706.0,46.5,0.5558336815407611,False,0.0,0.09580603604028677,0.0494997852874815
Sweden,1,GK,Jacob Widell Zetterström,1998-07-11,27,3,0,Derby County,England,jacob widell zetterstrom,,0.0,0.0,,,,0.0,0.0,90.0,0.0,False,0.0,0.0,0.0
Sweden,2,DF,Gustaf Lagerbielke,2000-04-10,26,11,2,Braga,Portugal,gustaf lagerbielke,1820.0,0.0805550324610942,0.0,DEF,2.0,2.18,0.3912437432030568,1820.0,71.45833333333333,0.3106402868487233,False,0.0,0.0805550324610942,0.0639592040142484
Sweden,3,DF,Victor Lindelöf (captain),1994-07-17,31,76,3,Aston Villa,England,victor lindelof,,0.05,0.0,,,,0.6,0.0,72.0,0.48,False,0.0,0.05,0.04000000000000001
Sweden,4,DF,Isak Hien,1999-01-13,27,29,0,Atalanta,Italy,isak hien,7999.0,0.038683501893476545,0.0,DEF,1.0,3.64,0.38197288673078883,7999.0,72.24299065420561,0.3066095965139146,False,0.0,0.038683501893476545,0.031051242952915233
Sweden,5,DF,Gabriel Gudmundsson,1999-04-29,27,24,0,Leeds United,England,gabriel gudmundsson,6929.0,0.049653677918501095,0.0,DEF,3.0,3.94,0.8208137412790045,6929.0,67.83018867924528,0.6186216771274677,False,0.0,0.049653677918501095,0.03742242602033782
Sweden,6,DF,Herman Johansson,1997-10-16,28,3,0,FC Dallas,United States,herman johansson,,0.05,0.0,,,,0.6,0.0,72.0,0.48,False,0.0,0.05,0.04000000000000001
Sweden,7,MF,Lucas Bergvall,2006-02-02,20,10,0,Tottenham Hotspur,England,lucas bergvall,3341.0,0.09001632060951466,0.0,MID,1.0,3.14,0.9884962569509408,3341.0,54.85507246376812,0.6024892645023046,False,0.0,0.09001632060951466,0.05486501988840789
Sweden,8,DF,Daniel Svensson,2002-02-12,24,13,0,Borussia Dortmund,Germany,daniel svensson,4661.0,0.07168946787933476,0.0,DEF,6.0,3.59,0.5283631468198893,4661.0,71.796875,0.4214980311870471,False,0.0,0.07168946787933476,0.05718977515721237
Sweden,9,FW,Alexander Isak,1999-09-21,26,58,17,Liverpool,England,alexander isak,6334.0,0.49267012619686307,0.1118250710451532,FWD,48.0,37.83,2.9439658031634592,6334.0,75.6111111111111,2.473294727225597,False,0.0,0.49267012619686307,0.4139037294777349
Sweden,10,MF,Benjamin Nygren,2001-07-08,24,11,3,Celtic,Scotland,benjamin nygren,984.0,0.35868886244109716,0.0,MID,9.0,6.8,2.253292148047196,984.0,67.66666666666666,1.6941418742725212,False,0.0,0.35868886244109716,0.26968088546497304
Sweden,11,FW,Anthony Elanga,2002-04-27,24,30,6,Newcastle United,England,anthony elanga,6732.0,0.21527292871126275,0.0,FWD,13.0,14.36,1.7254522118409754,6732.0,62.58620689655172,1.1998834346710232,False,0.0,0.21527292871126275,0.149701289506108
Sweden,12,GK,Viktor Johansson,1998-09-14,27,12,0,Stoke City,England,viktor johansson,,0.0,0.0,,,,0.0,0.0,90.0,0.0,False,0.0,0.0,0.0
