player,team_sim,pos,age,caps,goals,share,exp_goals,goals_90pct,p_golden_boot
Harry Kane (captain),England,FW,32,114,79,0.4679815105594541,6.94395,10.0,29.174196428571264
Kylian Mbappé (captain),France,FW,27,98,56,0.4526435808873215,6.02465,9.0,17.476865079365165
Lionel Messi (captain),Argentina,FW,38,199,117,0.4430485147580383,5.7652,9.0,14.478898809523836
Cristiano Ronaldo (captain),Portugal,FW,41,228,143,0.4564048432858416,5.22295,8.0,9.834440476190439
Mikel Oyarzabal,Spain,FW,29,53,25,0.19991182782875028,5.1167,8.0,8.838121031746
Ferran Torres,Spain,FW,26,57,24,0.19448889723457732,4.97495,8.0,7.691954365079345
Romelu Lukaku,Belgium,FW,33,126,90,0.38823950559093423,4.0803,7.0,3.3951607142857205
Neymar,Brazil,FW,34,128,79,0.4167557822418095,3.48415,6.0,1.450097222222222
Erling Haaland,Norway,FW,25,50,55,0.413374722813549,3.21995,6.0,1.2135119047619056
Memphis Depay,Netherlands,FW,32,109,55,0.32878232602365093,3.249,6.0,1.0411845238095243
Enner Valencia (captain),Ecuador,FW,36,105,49,0.43038189542691396,2.97505,5.0,0.7669285714285714
Ayoub El Kaabi,Morocco,FW,32,71,35,0.30831141119393707,2.9035,5.0,0.7158055555555558
Christian Pulisic,United States,FW,27,86,33,0.26182578702180576,2.9608,5.0,0.5704166666666666
Raúl Jiménez,Mexico,FW,35,124,45,0.30515886893270566,2.8753,5.0,0.46202579365079366
Edin Džeko (captain),Bosnia and Herzegovina,FW,40,148,73,0.5367680745116669,2.68635,5.0,0.4416865079365079
Dani Olmo,Spain,FW,28,50,12,0.1027629526320075,2.6516,5.0,0.38209523809523815
Son Heung-min (captain),South Korea,FW,33,144,56,0.3513715843474276,2.64815,5.0,0.3451150793650794
Kai Havertz,Germany,FW,27,58,22,0.16182742935477298,2.6344,5.0,0.3375476190476192
Jonathan David,Canada,FW,26,77,39,0.2746878071643754,2.4711,5.0,0.2533333333333334
Viktor Gyökeres,Sweden,FW,28,33,20,0.24566070957552447,2.4068,4.0,0.15874999999999997
Alexander Isak,Sweden,FW,26,58,17,0.23375190744610777,2.2937,4.0,0.14483333333333331
Leroy Sané,Germany,MF,30,76,17,0.12111614654252685,1.9532,4.0,0.08041666666666668
Cyle Larin,Canada,FW,31,90,30,0.21768101054406117,1.9674,4.0,0.06775
Mohamed Salah (captain),Egypt,FW,33,116,67,0.4473999897229341,1.78005,4.0,0.058214285714285725
Mikel Merino,Spain,MF,29,43,10,0.07448846023640088,1.8999,4.0,0.055000000000000014
Leon Goretzka,Germany,MF,31,70,15,0.10635497525584815,1.704,3.0,0.05408333333333333
Sadio Mané,Senegal,FW,34,128,55,0.35891463121153516,1.6981,4.0,0.052083333333333336
James Rodríguez (captain),Colombia,MF,34,126,31,0.22416926896657272,1.64345,3.0,0.0489642857142857
Lautaro Martínez,Argentina,FW,28,77,37,0.1358849826041606,1.77065,4.0,0.03891666666666666
Ivan Perišić,Croatia,FW,37,154,38,0.19796887961124232,1.53225,3.0,0.03375
Alexander Sørloth,Norway,FW,30,72,26,0.2129887070839713,1.6467,3.0,0.03216666666666667
Kevin De Bruyne,Belgium,MF,34,119,37,0.15644818538423974,1.6393,3.0,0.029333333333333333
Marcus Rashford,England,FW,28,72,18,0.11082083276550495,1.63525,3.0,0.025416666666666664
Deniz Undav,Germany,FW,29,9,6,0.10818204987597571,1.75225,3.0,0.02383333333333334
Marko Arnautović,Austria,FW,37,133,47,0.2946087977185939,1.3474,3.0,0.01875
Andrej Kramarić,Croatia,FW,34,116,36,0.18472913230674812,1.4463,3.0,0.018333333333333333
Chris Wood (captain),New Zealand,FW,34,90,45,0.3995604186721969,1.3663,3.0,0.017
Lamine Yamal,Spain,FW,18,25,6,0.050949699204104554,1.3211,3.0,0.015
Mehdi Taremi,Iran,FW,33,105,60,0.3415304917331805,1.304,3.0,0.015
Bukayo Saka,England,FW,24,49,14,0.08426204698204773,1.25475,3.0,0.0135
Nico Williams,Spain,FW,23,30,6,0.053301223782755536,1.3796,3.0,0.01
Riyad Mahrez (captain),Algeria,FW,35,114,38,0.2613566625837033,1.35225,3.0,0.009166666666666667
Joshua Kimmich (captain),Germany,DF,31,110,10,0.07082434523332024,1.129,3.0,0.00825
Ricardo Pepi,United States,FW,23,37,13,0.09970218561840755,1.14005,3.0,0.008214285714285714
Brahim Díaz,Morocco,FW,26,26,14,0.11159501620027433,1.05195,2.0,0.0075
Pedri,Spain,MF,23,41,6,0.04643869122072577,1.1859,3.0,0.00725
Eldor Shomurodov (captain),Uzbekistan,FW,30,92,44,0.33392849287423815,1.15425,3.0,0.005416666666666667
Bruno Fernandes,Portugal,MF,31,89,29,0.08677647650059349,0.99235,2.0,0.005416666666666667
Martín Zubimendi,Spain,MF,27,26,3,0.02312840940086865,0.5951,2.0,0.005
Ayase Ueda,Japan,FW,27,39,16,0.11354742985667414,0.96105,2.0,0.005
Trézéguet,Egypt,FW,31,96,23,0.15970585768649032,0.63075,2.0,0.005
Mathew Leckie,Australia,FW,35,80,14,0.14605096538884516,1.13955,3.0,0.004166666666666667
Jackson Irvine,Australia,MF,33,82,14,0.13251867600836126,1.0418,2.0,0.004166666666666667
Luka Modrić (captain),Croatia,MF,40,198,29,0.14789006019160691,1.14885,3.0,0.004166666666666667
Jean-Philippe Mateta,France,FW,28,4,2,0.06489002127888535,0.86725,2.0,0.004166666666666667
Kōki Ogawa,Japan,FW,28,15,11,0.15349930332476316,1.31095,3.0,0.0033333333333333327
Darwin Núñez,Uruguay,FW,26,38,13,0.12982809638054563,1.0814,2.0,0.0025
Donyell Malen,Netherlands,FW,27,53,13,0.08006902801170983,0.7835,2.0,0.0025
Nick Woltemade,Germany,FW,24,11,4,0.07302288366628361,1.17415,3.0,0.0025
Rodri (captain),Spain,MF,29,62,4,0.03531023537169942,0.9128,2.0,0.0025
Luis Díaz,Colombia,FW,29,74,22,0.16400755213364612,1.1986,3.0,0.0025
Ousmane Dembélé,France,FW,29,59,7,0.06653829722046131,0.8838,2.0,0.0016666666666666663
Gavi,Spain,MF,21,30,5,0.03675834396237592,0.9425,2.0,0.0016666666666666663
Giorgian de Arrascaeta,Uruguay,MF,32,60,13,0.12484285146393165,1.04935,2.0,0.0016666666666666663
Ollie Watkins,England,FW,30,22,7,0.05203105127069953,0.77555,2.0,0.0016666666666666663
Franck Kessié (captain),Ivory Coast,MF,29,103,15,0.13710283055948233,0.9489,2.0,0.00125
Giovanni Reyna,United States,MF,23,38,9,0.06280339476071223,0.7161,2.0,0.00125
Michael Olise,France,FW,24,17,7,0.07300127393874602,0.9743,2.0,0.00125
Jamal Musiala,Germany,MF,23,42,9,0.060490503480839924,0.96715,2.0,0.00125
Keito Nakamura,Japan,MF,25,25,10,0.08501499876448423,0.73065,2.0,0.00125
Soufiane Rahimi,Morocco,FW,30,37,12,0.10572834676583266,0.99435,2.0,0.001
Junya Itō,Japan,MF,33,69,15,0.10580291284593688,0.89535,2.0,0.001
Brenden Aaronson,United States,FW,25,58,9,0.07868924952343753,0.8992,2.0,0.001
Nicolas Pépé,Ivory Coast,FW,31,55,12,0.11554940459582155,0.82135,2.0,0.001
Achraf Hakimi (captain),Morocco,DF,27,96,11,0.09218294607452733,0.8737,2.0,0.0008333333333333332
Orbelín Pineda,Mexico,MF,30,92,12,0.07961935713651458,0.74845,2.0,0.0008333333333333332
Fabián Ruiz,Spain,MF,30,42,6,0.04667376973127707,1.2049,3.0,0.0008333333333333332
Florian Wirtz,Germany,MF,23,41,11,0.07246865870307286,1.17045,3.0,0.0008333333333333332
Jérémy Doku,Belgium,FW,24,43,7,0.03364981978552576,0.3597,1.0,0.0005555555555555554
Marcus Thuram,France,FW,28,34,3,0.03368732605739643,0.438,1.0,0.0
Rodrigo Zalazar,Uruguay,MF,26,8,2,0.053243904900664205,0.4476,1.0,0.0
Manu Koné,France,MF,25,14,0,0.006748562213004077,0.0918,0.0,0.0
Jules Koundé,France,DF,27,48,0,0.0016492087519560305,0.02145,0.0,0.0
Dayot Upamecano,France,DF,27,38,2,0.0140103455033957,0.1941,1.0,0.0
Unai Simón,Spain,GK,29,58,0,5.708682206278079e-05,0.00165,0.0,0.0
Lucas Digne,France,DF,32,58,0,0.0017160169768616566,0.02285,0.0,0.0
Pau Cubarsí,Spain,DF,19,12,0,0.0013117098040287497,0.0345,0.0,0.0
Brice Samba,France,GK,32,4,0,6.202722622246395e-05,0.0008,0.0,0.0
Malo Gusto,France,DF,23,11,0,0.002108925691563774,0.02735,0.0,0.0
Aurélien Tchouaméni,France,MF,26,46,3,0.026130796447658883,0.3469,1.0,0.0
Federico Valverde,Uruguay,MF,27,73,9,0.09117197049039662,0.7673,2.0,0.0
Facundo Pellistri,Uruguay,FW,24,39,2,0.03479165214408481,0.294,1.0,0.0
Santiago Mele,Uruguay,GK,28,8,0,9.507840160832895e-05,0.00065,0.0,0.0
Nicolás de la Cruz,Uruguay,MF,29,34,5,0.04691223113034889,0.40025,1.0,0.0
Guillermo Varela,Uruguay,DF,33,28,0,0.002150582893521726,0.01905,0.0,0.0
Rodrigo Bentancur,Uruguay,MF,28,74,3,0.03541506817345394,0.2936,1.0,0.0
Agustín Canobbio,Uruguay,MF,27,15,1,0.025012933346191157,0.2079,1.0,0.0
Manuel Ugarte,Uruguay,MF,25,36,1,0.014759404641156765,0.1271,1.0,0.0
Emiliano Martínez,Uruguay,MF,26,10,0,0.01376373051853905,0.1099,1.0,0.0
Mathías Olivera,Uruguay,DF,28,35,2,0.01720466314817381,0.1411,1.0,0.0
Matías Viña,Uruguay,DF,28,43,1,0.010094743874464554,0.0853,0.0,0.0
Brian Rodríguez,Uruguay,FW,26,32,4,0.05287286723585122,0.44915,1.0,0.0
Bradley Barcola,France,FW,23,20,3,0.03636078778558231,0.4833,1.0,0.0
Rodrigo Aguirre,Uruguay,FW,31,10,3,0.09507840160832895,0.79615,2.0,0.0
Sebastián Cáceres,Uruguay,DF,26,24,0,0.0023769600402082235,0.0215,0.0,0.0
Maximiliano Araújo,Uruguay,MF,26,28,3,0.03520338767241718,0.2932,1.0,0.0
José Giménez (captain),Uruguay,DF,31,99,8,0.07737530806992858,0.6508,2.0,0.0
Sergio Rochet,Uruguay,GK,33,35,0,5.764297396653105e-05,0.0006,0.0,0.0
Borja Iglesias,Spain,FW,33,8,0,0.016049155249292936,0.40905,1.0,0.0
Víctor Muñoz,Spain,FW,22,2,1,0.03720485989608817,0.9464,2.0,0.0
Federico Viñas,Uruguay,FW,27,11,2,0.07225958522233,0.6071,2.0,0.0
Joaquín Piquerez,Uruguay,MF,27,19,0,0.009634611362977335,0.0802,0.0,0.0
Marc Cucurella,Spain,DF,27,24,1,0.006837985945814033,0.17405,1.0,0.0
Fernando Muslera,Uruguay,GK,39,134,0,8.746869394572918e-05,0.00025,0.0,0.0
Santiago Bueno,Uruguay,DF,27,8,0,0.0041056582512687505,0.0355,0.0,0.0
Juan Manuel Sanabria,Uruguay,MF,26,5,1,0.04064601668756063,0.3429,1.0,0.0
Ronald Araújo,Uruguay,DF,27,27,1,0.01101518067413567,0.08885,0.0,0.0
Thelo Aasgaard,Norway,MF,24,8,5,0.047674739615494656,0.3704,1.0,0.0
Kristian Thorstvedt,Norway,MF,27,37,4,0.03166305332989395,0.24545,1.0,0.0
Torbjørn Heggem,Norway,DF,27,15,0,0.0013463437168466088,0.0097,0.0,0.0
Marcus Holmgren Pedersen,Norway,DF,25,32,0,0.001488275127139551,0.0115,0.0,0.0
Fredrik André Bjørkan,Norway,DF,27,21,1,0.0064181864857893135,0.0481,0.0,0.0
Fredrik Aursnes,Norway,MF,30,22,1,0.010269098377262904,0.0797,0.0,0.0
Egil Selvik,Norway,GK,28,7,0,4.220969490654234e-05,0.00035,0.0,0.0
Sander Tangvik,Norway,GK,23,0,0,5.205862371806888e-05,0.00035,0.0,0.0
Hussein Ali,Iraq,DF,24,27,1,0.007978000519830946,0.0152,0.0,0.0
Martin Ødegaard (captain),Norway,MF,27,68,5,0.04272291561173511,0.3229,1.0,0.0
Sander Berge,Norway,MF,28,66,1,0.013203126485052303,0.10325,0.0,0.0
Patrick Berg,Norway,MF,28,43,0,0.005451496669411171,0.04325,0.0,0.0
David Møller Wolfe,Norway,DF,24,22,1,0.006537041791081708,0.05145,0.0,0.0
Leo Østigård,Norway,DF,26,38,1,0.007817022001922882,0.0586,0.0,0.0
Kristoffer Ajer,Norway,DF,28,52,2,0.015170258966411103,0.11675,1.0,0.0
Morten Thorsby,Norway,MF,30,31,0,0.005053048407859523,0.04005,0.0,0.0
Ørjan Nyland,Norway,GK,35,71,0,6.015725947076453e-05,0.00055,0.0,0.0
Jørgen Strand Larsen,Norway,FW,26,28,6,0.05180806388529032,0.39905,1.0,0.0
Iliman Ndiaye,Senegal,FW,26,40,4,0.03300973716164093,0.15035,1.0,0.0
Cherif Ndiaye,Senegal,FW,30,19,4,0.04765780802711908,0.22435,1.0,0.0
Nicolas Jackson,Senegal,FW,24,33,8,0.05295312003013231,0.2455,1.0,0.0
Bamba Dieng,Senegal,FW,26,23,2,0.027800388015819466,0.13265,1.0,0.0
Lamine Camara,Senegal,MF,22,33,7,0.03942600482243488,0.18685,1.0,0.0
Assane Diao,Senegal,FW,20,5,0,0.031771872018079385,0.1487,1.0,0.0
Pathé Ciss,Senegal,MF,32,30,0,0.004339572763444989,0.02175,0.0,0.0
Idrissa Gueye,Senegal,MF,36,131,7,0.0484958369177368,0.2332,1.0,0.0
Antonio Nusa,Norway,FW,21,24,8,0.062236959862199404,0.4816,1.0,0.0
Kalidou Koulibaly (captain),Senegal,DF,34,103,2,0.013349370469134755,0.06385,0.0,0.0
Mamadou Sarr,Senegal,DF,20,8,0,0.0025273080014381333,0.01215,0.0,0.0
Yehvann Diouf,Senegal,GK,26,2,0,6.950097003954867e-05,0.0005,0.0,0.0
Julian Ryerson,Norway,FW,28,43,1,0.02122938606838004,0.16335,1.0,0.0
Henrik Falchener,Norway,DF,23,1,0,0.002602931185903444,0.01995,0.0,0.0
Sondre Langås,Norway,DF,25,3,0,0.0022967039875618623,0.01825,0.0,0.0
Jens Petter Hauge,Norway,MF,26,15,1,0.01081217569529123,0.0861,0.0,0.0
Oscar Bobb,Norway,MF,22,20,2,0.015458857772223722,0.1197,1.0,0.0
Andreas Schjelderup,Norway,MF,22,12,1,0.012222459481633564,0.09855,0.0,0.0
Abdoulaye Seck,Senegal,DF,34,22,4,0.026255922014940605,0.1237,1.0,0.0
Manaf Younis,Iraq,DF,29,34,1,0.008581275250497176,0.01695,0.0,0.0
Akam Hashim,Iraq,DF,27,14,1,0.011141235514300957,0.02095,0.0,0.0
Zaid Tahseen,Iraq,DF,25,28,1,0.008076494353409108,0.01405,0.0,0.0
Rebin Sulaka,Iraq,DF,34,56,1,0.009691793224090929,0.0175,0.0,0.0
Fahad Talib,Iraq,GK,31,21,0,4.8934054023596356e-05,0.00035,0.0,0.0
Maxence Lacroix,France,DF,26,4,0,0.0029290634605052416,0.03855,0.0,0.0
Maghnes Akliouche,France,MF,24,9,1,0.018980331224073964,0.25545,1.0,0.0
Rayan Cherki,France,MF,22,7,2,0.03280551075765871,0.44135,1.0,0.0
Frans Putros,Iraq,DF,32,28,0,0.0016152988706818214,0.0029,0.0,0.0
Lucas Hernandez,France,DF,30,42,0,0.0015976709784574045,0.0213,0.0,0.0
Désiré Doué,France,FW,21,7,2,0.052723142289094346,0.70615,2.0,0.0
Théo Hernandez,France,DF,28,44,2,0.014544315114232924,0.19645,1.0,0.0
Warren Zaïre-Emery,France,MF,20,11,1,0.017254846567339967,0.22115,1.0,0.0
William Saliba,France,DF,25,32,0,0.001481897719148897,0.01945,0.0,0.0
Mike Maignan,France,GK,30,40,0,4.869092505774947e-05,0.00095,0.0,0.0
Ibrahima Konaté,France,DF,27,28,0,0.0014201519808510262,0.01925,0.0,0.0
Adrien Rabiot,France,MF,31,59,7,0.05601890927894076,0.7433,2.0,0.0
N'Golo Kanté,France,MF,35,69,2,0.020578002202531368,0.2759,1.0,0.0
Robin Risser,France,GK,21,0,0,7.029752305212579e-05,0.0009,0.0,0.0
Mustafa Saadoon,Iraq,DF,25,17,0,0.002012610286454366,0.0034,0.0,0.0
Zaid Ismail,Iraq,MF,24,6,0,0.011744172965663125,0.021,0.0,0.0
Merchas Doski,Iraq,DF,26,31,1,0.008345710831856076,0.0158,0.0,0.0
Ahmed Basil,Iraq,GK,29,16,0,5.425297293920466e-05,0.0,0.0,0.0
Marko Farji,Iraq,FW,22,12,0,0.023767969097175372,0.04425,0.0,0.0
Aimar Sher,Iraq,MF,23,7,0,0.011091718912015174,0.02075,0.0,0.0
Kevin Yakob,Iraq,MF,25,9,0,0.009982547020813658,0.0178,0.0,0.0
Aymen Hussein,Iraq,FW,30,95,33,0.30985781221252257,0.57995,2.0,0.0
Youssef Amyn,Iraq,MF,22,27,2,0.019281567572138794,0.0358,0.0,0.0
Amir Al-Ammari,Iraq,MF,28,51,3,0.030294669787561644,0.05585,0.0,0.0
Ahmed Maknzi,Iraq,DF,24,7,0,0.0029709961371469215,0.00515,0.0,0.0
Zidane Iqbal,Iraq,MF,23,25,2,0.019410508096026555,0.03635,0.0,0.0
Ali Yousif,Iraq,FW,30,7,1,0.046793189160064017,0.09075,0.0,0.0
Jalal Hassan (captain),Iraq,GK,35,102,0,7.489112945888445e-05,0.0001,0.0,0.0
Ahmed Qasem,Iraq,FW,22,3,0,0.0415939459200569,0.08055,0.0,0.0
Mohanad Ali,Iraq,FW,25,72,27,0.2498328919987884,0.4686,1.0,0.0
Ali Al-Hamadi,Iraq,FW,24,20,5,0.06023950788422035,0.11065,1.0,0.0
Ibrahim Bayesh,Iraq,MF,26,76,8,0.07450426791117258,0.14485,1.0,0.0
Ali Jasim,Iraq,FW,22,36,2,0.031013738317090974,0.0592,0.0,0.0
Ramin Rezaeian,Iran,DF,36,74,8,0.041491233125880045,0.16095,1.0,0.0
Hossein Hosseini,Iran,GK,33,13,0,5.111427839517592e-05,0.00015,0.0,0.0
Mohammad Ghorbani,Iran,MF,24,16,0,0.006512337691829822,0.0253,0.0,0.0
Shahriyar Moghanlou,Iran,FW,31,21,2,0.029305519613234195,0.11065,1.0,0.0
Ali Nemati,Iran,DF,30,17,0,0.0017725112669294875,0.0073,0.0,0.0
Amirhossein Hosseinzadeh,Iran,FW,25,18,5,0.056982954803510934,0.21795,1.0,0.0
Aria Yousefi,Iran,DF,24,14,1,0.009812115941931092,0.03525,0.0,0.0
Mehdi Torabi,Iran,MF,31,52,7,0.038504433933034626,0.1426,1.0,0.0
David Raya,Spain,GK,30,13,0,3.172507432999767e-05,0.0012,0.0,0.0
Saman Ghoddos,Iran,MF,32,68,3,0.01956224817375282,0.07595,0.0,0.0
Hossein Kanaanizadegan,Iran,DF,32,65,6,0.030755276008463946,0.1182,1.0,0.0
Payam Niazmand,Iran,GK,31,15,0,4.884253268872366e-05,0.0003,0.0,0.0
Ali Alipour,Iran,FW,30,14,1,0.028668443099903015,0.1101,1.0,0.0
Mehdi Ghayedi,Iran,FW,27,30,10,0.0676281221843866,0.25755,1.0,0.0
Mohammad Mohebi,Iran,MF,27,36,14,0.06921090802274459,0.26635,1.0,0.0
Alireza Jahanbakhsh,Iran,MF,32,98,17,0.0957134402046915,0.3738,1.0,0.0
Saeid Ezatolahi,Iran,MF,29,83,2,0.014786371598166795,0.05605,0.0,0.0
Rouzbeh Cheshmi,Iran,MF,32,40,3,0.01782488587919807,0.06685,0.0,0.0
Finn Surman,New Zealand,DF,22,19,2,0.014505318390626295,0.05015,0.0,0.0
Nando Pijnaker,New Zealand,DF,27,25,0,0.0014986240471202147,0.0048,0.0,0.0
Alex Rufer,New Zealand,MF,29,26,0,0.005257011143887214,0.01855,0.0,0.0
Liberato Cacace,New Zealand,DF,25,37,1,0.008480449019586155,0.02925,0.0,0.0
Alex Paulsen,New Zealand,GK,23,8,0,5.598543940241728e-05,0.0004,0.0,0.0
Elijah Just,New Zealand,MF,26,44,9,0.0733150861835963,0.25405,1.0,0.0
Sarpreet Singh,New Zealand,MF,27,28,3,0.025512575778174534,0.08905,0.0,0.0
Marko Stamenić,New Zealand,MF,24,39,3,0.027717591256145334,0.09675,0.0,0.0
Dennis Eckert,Iran,FW,29,0,0,0.048842532688723655,0.18425,1.0,0.0
Joe Bell,New Zealand,MF,27,32,1,0.012526545337491536,0.0399,0.0,0.0
Michael Boxall,New Zealand,DF,37,63,1,0.009563946191621733,0.0316,0.0,0.0
Tyler Bindon,New Zealand,DF,21,25,3,0.01948211261256279,0.06675,0.0,0.0
Francis de Vries,New Zealand,DF,31,20,1,0.007821495210631826,0.0237,0.0,0.0
Tim Payne,New Zealand,DF,32,51,3,0.023846105837776858,0.0819,0.0,0.0
Max Crocombe,New Zealand,GK,32,24,0,4.156184024013395e-05,0.0002,0.0,0.0
Amirmohammad Razzaghinia,Iran,MF,20,4,0,0.011722207845293679,0.04575,0.0,0.0
Danial Eiri,Iran,DF,22,0,0,0.003924846376772436,0.01515,0.0,0.0
Matthew Garbett,New Zealand,MF,24,37,5,0.041808613666559746,0.13985,1.0,0.0
Haissem Hassan,Egypt,FW,24,4,0,0.03144209073202779,0.12525,1.0,0.0
Mostafa Ziko,Egypt,MF,29,2,2,0.0440189270248389,0.1772,1.0,0.0
Hamza Abdelkarim,Egypt,FW,18,2,0,0.03715883450148739,0.14125,1.0,0.0
Emam Ashour,Egypt,MF,28,29,0,0.0040874717951636125,0.016,0.0,0.0
Mohamed Abdelmonem,Egypt,DF,27,36,3,0.01634988718065445,0.0673,0.0,0.0
Ramy Rabia,Egypt,DF,33,44,5,0.027828057314553328,0.10935,1.0,0.0
Hossam Abdelmaguid,Egypt,DF,25,13,0,0.0018923480533164872,0.00755,0.0,0.0
Mohamed Hany,Egypt,DF,30,42,0,0.001310087113834491,0.0046,0.0,0.0
Milad Mohammadi,Iran,DF,32,76,1,0.0063129804155493165,0.02315,0.0,0.0
Mohamed El Shenawy,Egypt,GK,37,76,0,5.00964129063755e-05,0.00015,0.0,0.0
Matias Fernandez-Pardo,Belgium,FW,21,2,0,0.028567171412941062,0.3014,1.0,0.0
Nathan Ngoy,Belgium,DF,23,4,0,0.0021822144829329974,0.023,0.0,0.0
Amadou Onana,Belgium,MF,24,29,1,0.007070374924702912,0.0736,0.0,0.0
Nicolas Raskin,Belgium,MF,25,13,2,0.018330601656637177,0.1849,1.0,0.0
Alexis Saelemaekers,Belgium,MF,26,24,2,0.012569555421694066,0.1318,1.0,0.0
Timothy Castagne,Belgium,DF,30,63,2,0.008323528361324554,0.08535,0.0,0.0
Hans Vanaken,Belgium,MF,33,34,7,0.027234036747003813,0.2931,1.0,0.0
Yasser Ibrahim,Egypt,DF,33,17,1,0.008240870554765347,0.03455,0.0,0.0
Shojae Khalilzadeh,Iran,DF,37,58,2,0.010840051897752445,0.0437,0.0,0.0
Ehsan Hajsafi (captain),Iran,DF,36,146,7,0.039566189426796426,0.15145,1.0,0.0
Saleh Hardani,Iran,DF,27,18,1,0.008585601449189706,0.0311,0.0,0.0
Alireza Beiranvand,Iran,GK,33,86,0,4.4339808000319156e-05,5e-05,0.0,0.0
Mohamed Alaa,Egypt,GK,27,0,0,6.812452991939354e-05,0.0003,0.0,0.0
Zizo,Egypt,FW,30,63,5,0.04279617905192671,0.17095,1.0,0.0
Tarek Alaa,Egypt,DF,24,3,0,0.003005493967032068,0.01225,0.0,0.0
Mostafa Shobeir,Egypt,GK,26,9,0,5.2403484553379645e-05,0.0001,0.0,0.0
Ahmed Fatouh,Egypt,DF,28,39,1,0.006426842445225805,0.02385,0.0,0.0
Mahmoud Saber,Egypt,MF,24,15,1,0.014148940829412504,0.0555,0.0,0.0
Ibrahim Adel,Egypt,FW,25,24,3,0.030965695417906156,0.1187,1.0,0.0
Marwan Attia,Egypt,MF,27,34,1,0.009502498532346177,0.0392,0.0,0.0
Nabil Emad,Egypt,MF,30,12,0,0.007108646600284543,0.0285,0.0,0.0
Mohanad Lasheen,Egypt,MF,30,23,0,0.004808790347251309,0.021,0.0,0.0
El Mahdy Soliman,Egypt,GK,39,0,0,6.812452991939354e-05,0.00015,0.0,0.0
Karim Hafez,Egypt,DF,30,9,0,0.00222145206258892,0.00965,0.0,0.0
Hamdy Fathy,Egypt,MF,31,63,3,0.022604313877619974,0.08775,0.0,0.0
Omar Marmoush,Egypt,FW,27,49,11,0.076737976231041,0.3042,1.0,0.0
Alaa Al-Hejji,Saudi Arabia,MF,30,3,0,0.014884889725191293,0.0362,0.0,0.0
Khalid Al-Ghannam,Saudi Arabia,FW,25,7,0,0.032560696273855945,0.0846,0.0,0.0
Ziyad Al-Johani,Saudi Arabia,MF,24,12,0,0.00906036765881209,0.02455,0.0,0.0
Abdullah Al-Khaibari,Saudi Arabia,MF,29,40,0,0.005889799149342605,0.01505,0.0,0.0
Hassan Kadesh,Saudi Arabia,DF,33,21,2,0.0167455009408402,0.04305,0.0,0.0
Nawaf Boushal,Saudi Arabia,DF,26,25,0,0.0016697792960951767,0.0051,0.0,0.0
Saud Abdulhamid,Saudi Arabia,DF,26,55,1,0.009352857005155124,0.02165,0.0,0.0
Saleh Al-Shehri,Saudi Arabia,FW,32,55,18,0.16133678333892587,0.4095,1.0,0.0
Kosta Barbarouses,New Zealand,FW,36,76,10,0.1003351719679469,0.34145,1.0,0.0
Firas Al-Buraikan,Saudi Arabia,FW,26,70,15,0.14139711644525427,0.36745,1.0,0.0
Ayman Yahya,Saudi Arabia,FW,25,27,0,0.014471420566158199,0.03625,0.0,0.0
Musab Al-Juwayr,Saudi Arabia,MF,22,35,6,0.04856683564858733,0.1213,1.0,0.0
Nasser Al-Dawsari,Saudi Arabia,MF,27,44,0,0.006007595132329458,0.01545,0.0,0.0
Hassan Al-Tambakti,Saudi Arabia,DF,27,52,1,0.009244642130715311,0.02395,0.0,0.0
Abdulelah Al-Amri,Saudi Arabia,DF,29,43,1,0.008851651270907576,0.02525,0.0,0.0
Ali Lajami,Saudi Arabia,DF,30,22,1,0.009044637853848875,0.02445,0.0,0.0
Ali Majrashi,Saudi Arabia,DF,26,21,0,0.0018606112156489114,0.0059,0.0,0.0
Salem Al-Dawsari (captain),Saudi Arabia,FW,34,110,27,0.2516311511571819,0.63855,2.0,0.0
Álex Baena,Spain,MF,24,17,2,0.014724463069986217,0.3933,1.0,0.0
Aymeric Laporte,Spain,DF,32,46,2,0.014940999291603661,0.3867,1.0,0.0
Joan Garcia,Spain,GK,25,2,0,4.263056863093437e-05,0.00085,0.0,0.0
Pedro Porro,Spain,DF,26,18,0,0.0012180162465981247,0.02825,0.0,0.0
Yéremy Pino,Spain,FW,23,23,4,0.03735249822900916,0.96385,2.0,0.0
Marcos Llorente,Spain,DF,31,24,0,0.0013675971891628066,0.0364,0.0,0.0
Eric García,Spain,DF,25,21,0,0.0012992173297046662,0.0335,0.0,0.0
Álex Grimaldo,Spain,DF,30,14,0,0.0012180162465981247,0.0311,0.0,0.0
Abdullah Al-Hamdan,Saudi Arabia,FW,26,50,12,0.11136961315229398,0.28545,1.0,0.0
Ismail Jakobs,Senegal,DF,26,30,0,0.0012636540007190666,0.0066,0.0,0.0
Mohammed Abu Al-Shamat,Saudi Arabia,DF,23,7,0,0.0031010186927481853,0.00725,0.0,0.0
Jehad Thakri,Saudi Arabia,DF,24,8,0,0.0029600632976232682,0.0067,0.0,0.0
Moteb Al-Harbi,Saudi Arabia,DF,26,13,0,0.002411903427693033,0.0063,0.0,0.0
Mohamed Kanno,Saudi Arabia,MF,31,77,8,0.07227887893583879,0.18375,1.0,0.0
Ahmed Al-Kassar,Saudi Arabia,GK,35,9,0,6.679117184380708e-05,0.00015,0.0,0.0
