player,team_sim,pos,age,caps,goals,share,exp_goals,goals_90pct,p_golden_boot
Esmir Bajraktarević,Bosnia and Herzegovina,FW,21,16,1,0.033936798829868706,0.1665,1.0,0.0
Kerim Alajbegović,Bosnia and Herzegovina,FW,18,10,1,0.04465368267087987,0.22285,1.0,0.0
Nikola Katić,Bosnia and Herzegovina,DF,29,17,2,0.020526289614839946,0.1034,0.0,0.0
Dženis Burnić,Bosnia and Herzegovina,MF,28,20,0,0.007298236307498647,0.03725,0.0,0.0
Amir Hadžiahmetović,Bosnia and Herzegovina,MF,29,36,0,0.0048137303304778304,0.0235,0.0,0.0
Amar Memić,Bosnia and Herzegovina,MF,25,13,1,0.02121049926866794,0.10505,0.0,0.0
Ivan Šunjić,Bosnia and Herzegovina,MF,29,11,0,0.010283878433293548,0.0524,0.0,0.0
Haris Tabaković,Bosnia and Herzegovina,FW,31,10,4,0.08930736534175975,0.44125,1.0,0.0
Jayden Nelson,Canada,MF,24,14,3,0.025875469622109366,0.2329,1.0,0.0
Nathan Saliba,Canada,MF,22,15,2,0.018332822606757646,0.1645,1.0,0.0
Promise David,Canada,FW,24,10,3,0.04479825073079876,0.4007,1.0,0.0
Niko Sigur,Canada,DF,22,19,2,0.011606819507525132,0.1066,1.0,0.0
Richie Laryea,Canada,DF,31,75,1,0.00788214684422623,0.0682,0.0,0.0
Jonathan Osorio,Canada,MF,33,90,10,0.07201254222577666,0.64335,2.0,0.0
Ali Ahmed,Canada,FW,25,24,1,0.016326075790804584,0.1464,1.0,0.0
Alphonso Davies (captain),Canada,DF,25,58,15,0.09192393194828309,0.8173,2.0,0.0
Mathieu Choinière,Canada,MF,27,23,0,0.004049507034385843,0.03645,0.0,0.0
Tajon Buchanan,Canada,FW,27,60,8,0.06506769336914871,0.57725,2.0,0.0
Maxime Crépeau,Canada,GK,32,32,0,3.8620824451365684e-05,0.00015,0.0,0.0
Moïse Bombito,Canada,DF,26,20,0,0.0012517158292429066,0.0116,0.0,0.0
Jacob Shaffelburg,Canada,MF,26,31,6,0.03755645292035483,0.33065,1.0,0.0
Derek Cornelius,Canada,DF,28,44,1,0.007095744147583889,0.06455,0.0,0.0
Tani Oluwaseyi,Canada,FW,26,24,2,0.021768101054406113,0.19705,1.0,0.0
